ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
BRNS,BRNS,BRNS,BRNS,NASDAQ,1.3300000429153442,1.25,1.399999976158142,1.25 - 1.40,65600,65600,2.307699361496682,2025-10-30 12:27:45.757695+00:00,2025-10-30 12:27:45.757701+00:00,0.0
BTCS,BTCS,BTCS,BTCS,NASDAQ,3.7699999809265137,3.674999952316284,3.9200000762939453,3.67 - 3.92,1506400,1506400,-2.583976940302204,2025-10-30 12:27:45.845294+00:00,2025-10-30 12:27:45.845299+00:00,1.3262599536595228
ITRI,ITRI,ITRI,ITRI,NASDAQ,138.17999267578125,133.92999267578125,139.07000732421875,133.93 - 139.07,1362900,1362900,3.1578916191939284,2025-10-30 12:27:58.909325+00:00,2025-10-30 12:27:58.909330+00:00,0.0
IVA,IVA,IVA,IVA,NASDAQ,4.159999847412109,3.7850000858306885,4.699999809265137,3.79 - 4.70,2895800,2895800,-21.06262120553663,2025-10-30 12:27:58.910634+00:00,2025-10-30 12:27:58.910637+00:00,0.0
IZM,IZM,IZM,IZM,NASDAQ,1.975000023841858,1.9700000286102295,2.0,1.97 - 2.00,9200,9200,-2.2277206687900875,2025-10-30 12:27:58.919788+00:00,2025-10-30 12:27:58.919792+00:00,0.0
JBDI,JBDI,JBDI,JBDI,NASDAQ,1.3799999952316284,1.350000023841858,1.4889999628067017,1.35 - 1.49,46300,46300,2.985071705720311,2025-10-30 12:27:58.924509+00:00,2025-10-30 12:27:58.924514+00:00,0.0
JD,JD,JD,JD,NASDAQ,34.36000061035156,34.11199951171875,35.058998107910156,34.11 - 35.06,10287000,10287000,-0.4923202286564753,2025-10-30 12:27:58.926245+00:00,2025-10-30 12:27:58.926249+00:00,2.910360833051709
JEM,JEM,JEM,JEM,NASDAQ,0.3310000002384186,0.3199999928474426,0.3700000047683716,0.32 - 0.37,2030800,2030800,-11.968082028675859,2025-10-30 12:27:58.931375+00:00,2025-10-30 12:27:58.931378+00:00,0.0
JMSB,JMSB,JMSB,JMSB,NASDAQ,18.6299991607666,18.5,19.440000534057617,18.50 - 19.44,22200,22200,-2.81690617307363,2025-10-30 12:27:58.933250+00:00,2025-10-30 12:27:58.933253+00:00,1.6103060306721741
JWEL,JWEL,JWEL,JWEL,NASDAQ,1.7000000476837158,1.5800000429153442,1.7000000476837158,1.58 - 1.70,13900,13900,4.294481758089831,2025-10-30 12:27:58.934933+00:00,2025-10-30 12:27:58.934936+00:00,0.0
JYNT,JYNT,JYNT,JYNT,NASDAQ,8.140000343322754,8.015000343322754,8.300000190734863,8.02 - 8.30,51400,51400,-1.9277089606662208,2025-10-30 12:27:58.936033+00:00,2025-10-30 12:27:58.936035+00:00,0.0
JZXN,JZXN,JZXN,JZXN,NASDAQ,0.2759999930858612,0.27000001072883606,0.29600000381469727,0.27 - 0.30,2139500,2139500,-1.0752762830032663,2025-10-30 12:27:58.936870+00:00,2025-10-30 12:27:58.936872+00:00,0.0
KALV,KALV,KALV,KALV,NASDAQ,10.960000038146973,10.859999656677246,11.244999885559082,10.86 - 11.24,791100,791100,-1.52740408397098,2025-10-30 12:27:58.937745+00:00,2025-10-30 12:27:58.937747+00:00,0.0
KBSX,KBSX,KBSX,KBSX,NASDAQ,1.5199999809265137,1.5,1.5499999523162842,1.50 - 1.55,17100,17100,-3.1847178251670543,2025-10-30 12:27:58.938781+00:00,2025-10-30 12:27:58.938783+00:00,0.0
KDP,KDP,KDP,KDP,NASDAQ,27.149999618530273,27.09000015258789,28.65999984741211,27.09 - 28.66,29975000,29975000,-5.8925502269017604,2025-10-30 12:27:58.940039+00:00,2025-10-30 12:27:58.940042+00:00,3.388581999728967
KFII,KFII,KFII,KFII,NASDAQ,10.25,10.25,10.25,10.25 - 10.25,0,0,0.0,2025-10-30 12:27:58.941308+00:00,2025-10-30 12:27:58.941310+00:00,0.0
KIDZ,KIDZ,KIDZ,KIDZ,NASDAQ,0.652999997138977,0.6499999761581421,0.7229999899864197,0.65 - 0.72,476200,476200,-10.547947934609297,2025-10-30 12:27:58.942572+00:00,2025-10-30 12:27:58.942574+00:00,0.0
KROS,KROS,KROS,KROS,NASDAQ,15.039999961853027,15.0,15.470000267028809,15.00 - 15.47,997800,997800,-0.9222683827945597,2025-10-30 12:27:58.946190+00:00,2025-10-30 12:27:58.946192+00:00,0.0
KSPI,KSPI,KSPI,KSPI,NASDAQ,75.0,74.3550033569336,76.38999938964844,74.36 - 76.39,659000,659000,0.04001437749555588,2025-10-30 12:27:58.947531+00:00,2025-10-30 12:27:58.947533+00:00,2.2853333333333334
KVHI,KVHI,KVHI,KVHI,NASDAQ,6.0,5.949999809265137,6.059999942779541,5.95 - 6.06,29100,29100,-0.8264494075791097,2025-10-30 12:27:58.948932+00:00,2025-10-30 12:27:58.948935+00:00,0.0
LBRDP,LBRDP,LBRDP,LBRDP,NASDAQ,24.549999237060547,24.549999237060547,24.715999603271484,24.55 - 24.72,2900,2900,-0.48642415428571645,2025-10-30 12:27:58.951623+00:00,2025-10-30 12:27:58.951625+00:00,7.136456433592023
LBTYB,LBTYB,LBTYB,LBTYB,NASDAQ,11.710000038146973,11.710000038146973,11.710000038146973,11.71 - 11.71,0,0,0.0,2025-10-30 12:27:58.952578+00:00,2025-10-30 12:27:58.952580+00:00,0.0
LCCC,LCCC,LCCC,LCCC,NASDAQ,10.119999885559082,10.119999885559082,10.119999885559082,10.12 - 10.12,0,0,0.0,2025-10-30 12:27:58.953533+00:00,2025-10-30 12:27:58.953535+00:00,0.0
LCFY,LCFY,LCFY,LCFY,NASDAQ,4.46999979019165,4.300000190734863,5.0,4.30 - 5.00,35600,35600,-8.401645791687438,2025-10-30 12:27:58.954307+00:00,2025-10-30 12:27:58.954309+00:00,0.0
LCNB,LCNB,LCNB,LCNB,NASDAQ,15.220000267028809,15.020000457763672,15.699999809265137,15.02 - 15.70,30400,30400,-1.2970156178702485,2025-10-30 12:27:58.955171+00:00,2025-10-30 12:27:58.955173+00:00,5.781865864393906
LFMDP,LFMDP,LFMDP,LFMDP,NASDAQ,23.799999237060547,23.760000228881836,23.989999771118164,23.76 - 23.99,1200,1200,-0.25147263938033715,2025-10-30 12:27:58.957421+00:00,2025-10-30 12:27:58.957423+00:00,9.32773139144934
LFWD,LFWD,LFWD,LFWD,NASDAQ,0.6589999794960022,0.6499999761581421,0.6899999976158142,0.65 - 0.69,170200,170200,-0.3025769765567092,2025-10-30 12:27:58.958676+00:00,2025-10-30 12:27:58.958678+00:00,0.0
