ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,avg_volume_3mon,dvav,week_52_low,week_52_high,dividend_yield
AVIE,AVIE,AVIE,AVIE,NASDAQ,62.4900016784668,62.459999084472656,62.4900016784668,62.46 - 62.49,3,3,0.0,2025-10-17 17:41:49.131009+00:00,2025-10-17 17:41:49.131011+00:00,357.0,0.008403361344537815,56.290000915527344,65.81700134277344,1.8418946536796446
AVIG,AVIG,AVIG,AVIG,NASDAQ,42.31999969482422,42.27080154418945,42.325801849365234,42.27 - 42.33,44787,44787,-0.07083537279276744,2025-10-17 17:41:49.131489+00:00,2025-10-17 17:41:49.131491+00:00,193423.0,0.23154950548797196,40.02000045776367,42.41999816894531,4.416351638652259
AVIV,AVIV,AVIV,AVIV,NASDAQ,67.43990325927734,67.2699966430664,67.55999755859375,67.27 - 67.56,53422,53422,-0.39890094350518346,2025-10-17 17:41:49.131958+00:00,2025-10-17 17:41:49.131958+00:00,35027.0,1.525166300282639,49.84400177001953,68.56999969482422,2.6171449167332526
AVK,AVK,AVK,AVK,NASDAQ,12.63010025024414,12.570199966430664,12.850000381469727,12.57 - 12.85,88707,88707,-1.327343265304815,2025-10-17 17:41:49.132558+00:00,2025-10-17 17:41:49.132559+00:00,149635.0,0.5928225348347645,9.75,13.100000381469727,11.116301313387126
AVL,AVL,AVL,AVL,NASDAQ,56.66999816894531,54.689998626708984,57.869998931884766,54.69 - 57.87,257343,257343,-4.273652975318845,2025-10-17 17:41:49.137527+00:00,2025-10-17 17:41:49.137530+00:00,363646.0,0.7076744966258394,10.680000305175781,67.8499984741211,0.9546497573322023
AVLC,AVLC,AVLC,AVLC,NASDAQ,75.7249984741211,75.54000091552734,75.95999908447266,75.54 - 75.96,8940,8940,-0.03300531469162541,2025-10-17 17:41:49.144391+00:00,2025-10-17 17:41:49.144394+00:00,34791.0,0.25696300767439856,55.46699905395508,77.2699966430664,0.9772202243792635
AVLV,AVLV,AVLV,AVLV,NASDAQ,71.37449645996094,71.07050323486328,71.5728988647461,71.07 - 71.57,159785,159785,0.23100319843165104,2025-10-17 17:41:49.145472+00:00,2025-10-17 17:41:49.145474+00:00,396998.0,0.40248313593519364,55.66999816894531,73.01000213623047,1.44449355320967
AVMA,AVMA,AVMA,AVMA,NASDAQ,64.91179656982422,64.80989837646484,64.80999755859375,64.81 - 64.81,557,557,-0.0003173429322910068,2025-10-17 17:41:49.146066+00:00,2025-10-17 17:41:49.146067+00:00,3450.0,0.16144927536231884,52.83000183105469,65.55999755859375,2.292341421176643
AVMC,AVMC,AVMC,AVMC,NASDAQ,68.28710174560547,68.16500091552734,68.47000122070312,68.17 - 68.47,4744,4744,-0.048152736191013595,2025-10-17 17:41:49.146497+00:00,2025-10-17 17:41:49.146498+00:00,18930.0,0.25060750132065507,53.29100036621094,70.7300033569336,1.1598090704603203
AVMV,AVMV,AVMV,AVMV,NASDAQ,67.22000122070312,67.14900207519531,67.30999755859375,67.15 - 67.31,5937,5937,-0.08027001936324259,2025-10-17 17:41:49.146959+00:00,2025-10-17 17:41:49.146960+00:00,19868.0,0.2988222266961949,52.41999816894531,71.73999786376953,1.3329366017982762
