ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,market_cap,shares_available,avg_volume_3mon,week_52_low,week_52_high,dvav,dividend_yield
BEKE,BEKE,BEKE,BEKE,NASDAQ,18.315000534057617,17.899999618530273,18.354999542236328,17.90 - 18.35,2043973,2043973,0.19146524123316136,2025-10-17 18:53:07.428115+00:00,2025-10-17 18:53:07.428116+00:00,21761156529.0,1188160300.0,5629176.0,16.049999237060547,25.165000915527344,0.36310340980633754,1.9656019082858491
BELFA,BELFA,BELFA,BELFA,NASDAQ,121.5,121.5,127.0,121.50 - 127.00,10756,10756,-2.9940119760479043,2025-10-17 18:53:07.428798+00:00,2025-10-17 18:53:07.428799+00:00,1780409848.0,14653579.0,8056.0,53.95000076293945,127.5999984741211,1.3351539225422047,0.19753086419753088
BELFB,BELFB,BELFB,BELFB,NASDAQ,145.98500061035156,145.27999877929688,151.52000427246094,145.28 - 151.52,77667,77667,-1.9445218817259402,2025-10-17 18:53:07.429406+00:00,2025-10-17 18:53:07.429407+00:00,1793939471.0,12327786.0,143020.0,58.0,152.85000610351562,0.5430499230876801,0.19180052664954791
BEN,BEN,BEN,BEN,NASDAQ,22.190000534057617,21.959999084472656,22.219999313354492,21.96 - 22.22,2239373,2239373,0.4072405024180606,2025-10-17 18:53:07.431246+00:00,2025-10-17 18:53:07.431247+00:00,11520947867.0,519195475.0,4177152.0,16.25,26.079999923706055,0.5361004339798983,5.768363989155533
BENF,BENF,BENF,BENF,NASDAQ,0.5121999979019165,0.49559998512268066,0.534500002861023,0.50 - 0.53,155607,155607,-6.190477230152527,2025-10-17 18:53:07.431896+00:00,2025-10-17 18:53:07.431897+00:00,4970135.0,9703505.0,14018353.0,0.21899999678134918,2.359999895095825,0.011100234100254146,0.0
BEP,BEP,BEP,BEP,NASDAQ,28.600000381469727,28.260000228881836,28.690000534057617,28.26 - 28.69,450102,450102,-0.4178235889753918,2025-10-17 18:53:07.433161+00:00,2025-10-17 18:53:07.433162+00:00,18811045999.0,658189155.0,530992.0,19.290000915527344,29.559999465942383,0.8476624883237412,3.84965029830332
BEPC,BEPC,BEPC,BEPC,NASDAQ,39.810001373291016,39.71500015258789,40.7599983215332,39.72 - 40.76,467431,467431,-2.4981641244695583,2025-10-17 18:53:07.433795+00:00,2025-10-17 18:53:07.433796+00:00,7159420893.0,179839755.0,863050.0,23.729999542236328,41.72999954223633,0.541603615086032,3.702587161900787
BEPH,BEPH,BEPH,BEPH,NASDAQ,15.5,15.479999542236328,15.5600004196167,15.48 - 15.56,18954,18954,0.12920192735860053,2025-10-17 18:53:07.434412+00:00,2025-10-17 18:53:07.434412+00:00,,,,,,,7.458064516129031
BEPI,BEPI,BEPI,BEPI,NASDAQ,16.40999984741211,16.40999984741211,16.540000915527344,16.41 - 16.54,3476,3476,-0.5454554702296401,2025-10-17 18:53:07.435032+00:00,2025-10-17 18:53:07.435033+00:00,,,,,,,7.434491233053829
BEPJ,BEPJ,BEPJ,BEPJ,NASDAQ,25.399999618530273,25.209999084472656,25.209999084472656,25.21 - 25.21,654,654,0.3555912860013946,2025-10-17 18:53:07.435634+00:00,2025-10-17 18:53:07.435635+00:00,,,,,,,7.133858374856339
BERZ,BERZ,BERZ,BERZ,NASDAQ,3.1700000762939453,3.123500108718872,3.319999933242798,3.12 - 3.32,987931,987931,-1.2461047158154555,2025-10-17 18:53:07.436249+00:00,2025-10-17 18:53:07.436250+00:00,,,,,,,0.0
BESF,BESF,BESF,BESF,NASDAQ,33.15169906616211,33.06999969482422,33.90999984741211,33.07 - 33.91,162,162,-0.0009090283545505155,2025-10-17 18:53:07.436891+00:00,2025-10-17 18:53:07.436892+00:00,,,,,,,0.13875608579878831
BETE,BETE,BETE,BETE,NASDAQ,70.88999938964844,69.63999938964844,70.91500091552734,69.64 - 70.92,29664,29664,-1.1117735568090703,2025-10-17 18:53:07.437495+00:00,2025-10-17 18:53:07.437496+00:00,,,,,,,29.125405808671704
BETH,BETH,BETH,BETH,NASDAQ,73.02999877929688,71.91999816894531,73.19999694824219,71.92 - 73.20,4995,4995,-1.4506504674979366,2025-10-17 18:53:07.438110+00:00,2025-10-17 18:53:07.438110+00:00,,,,,,,30.031494408592895
BETZ,BETZ,BETZ,BETZ,NASDAQ,22.719999313354492,22.549999237060547,22.732500076293945,22.55 - 22.73,7239,7239,-0.26339495821960485,2025-10-17 18:53:07.438729+00:00,2025-10-17 18:53:07.438730+00:00,,,,,,,0.7130281905632748
BFAM,BFAM,BFAM,BFAM,NASDAQ,100.13150024414062,99.57499694824219,101.40499877929688,99.57 - 101.40,191676,191676,1.286161871271448,2025-10-17 18:53:07.439378+00:00,2025-10-17 18:53:07.439379+00:00,,,,,,,0.0
BFAP,BFAP,BFAP,BFAP,NASDAQ,23.645099639892578,23.645099639892578,23.645099639892578,23.65 - 23.65,26,26,0.00041946342561259814,2025-10-17 18:53:07.442695+00:00,2025-10-17 18:53:07.442696+00:00,,,,,,,0.0
BFC,BFC,BFC,BFC,NASDAQ,121.9000015258789,121.38999938964844,123.16999816894531,121.39 - 123.17,52606,52606,0.7188323187282821,2025-10-17 18:53:07.443454+00:00,2025-10-17 18:53:07.443455+00:00,,,,,,,4.347826032532765
BFEB,BFEB,BFEB,BFEB,NASDAQ,47.130001068115234,47.040000915527344,47.130001068115234,47.04 - 47.13,1281,1281,0.5118397986581767,2025-10-17 18:53:07.444151+00:00,2025-10-17 18:53:07.444152+00:00,,,,,,,0.0
BFH,BFH,BFH,BFH,NASDAQ,59.09000015258789,58.16999816894531,59.525001525878906,58.17 - 59.53,545030,545030,2.56899761596322,2025-10-17 18:53:07.444786+00:00,2025-10-17 18:53:07.444787+00:00,,,,,,,1.4215603280265208
BFIN,BFIN,BFIN,BFIN,NASDAQ,11.149999618530273,11.069999694824219,11.170000076293945,11.07 - 11.17,11471,11471,1.3636328957297585,2025-10-17 18:53:07.445427+00:00,2025-10-17 18:53:07.445428+00:00,,,,,,,3.587444068923884
BFIX,BFIX,BFIX,BFIX,NASDAQ,25.520000457763672,25.520000457763672,25.530000686645508,25.52 - 25.53,257,257,0.4487141612940061,2025-10-17 18:53:07.446172+00:00,2025-10-17 18:53:07.446173+00:00,,,,,,,3.891065760925214
BFJL,BFJL,BFJL,BFJL,NASDAQ,20.167800903320312,20.167800903320312,20.329999923706055,20.17 - 20.33,12335,12335,-0.0009835594259039288,2025-10-17 18:53:07.446868+00:00,2025-10-17 18:53:07.446869+00:00,,,,,,,0.0
BFK,BFK,BFK,BFK,NASDAQ,9.960000038146973,9.899999618530273,10.020000457763672,9.90 - 10.02,90399,90399,-0.2003958417504492,2025-10-17 18:53:07.447597+00:00,2025-10-17 18:53:07.447599+00:00,,,,,,,6.024096362469776
