ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at,analytics_rsi14,analytics_atr14,analytics_sma_5,analytics_sma_20,analytics_ema_5,analytics_ema_20,analytics_macd,analytics_macd_signal,analytics_stochastic14,analytics_vwap,analytics_gap_open_vs_prev_close,analytics_gap_open_percent,analytics_premarket_active,analytics_postmarket_active,analytics_earnings_bucket,analytics_days_to_cover,analytics_dollar_volume,analytics_momentum_1m,analytics_dvav_percentile,analytics_momentum_1m_percentile,analytics_dollar_volume_percentile,analytics_liquidity_score,flag_large_cap,flag_high_dvav,flag_rsi_overbought,flag_rsi_oversold
MSFT,MSFT,MSFT,MSFT,NASDAQ,509.6549987792969,507.3299865722656,512.655029296875,507.33 - 512.66,6618211,6618211,20245544,0.3268971680879506,3788350401815,7433166379,,,,344.7900085449219,555.4500122070312,,,,,,,-0.5250012207031318,,,,-0.1029050963783629,,,2025-10-17 15:00:27.001845,2025-10-17 15:00:27.001851,,,,,,,,,,,,,,,,,3373004319.126129,,33.33,,33.33,33.33,True,False,False,False
AAPL,AAPL,AAPL,AAPL,NASDAQ,248.88499450683594,247.27000427246094,250.32000732421875,247.27 - 250.32,12972352,12972352,54282324,0.23897930383378574,3693550383629,14840390000,,,,169.2100067138672,260.1000061035156,,,,,,,2.484994506835932,,,,1.008520497904193,,,2025-10-17 15:00:27.009693,2025-10-17 15:00:27.009699,,,,,,,,,,,,,,,,,3228623756.260742,,0.0,,0.0,0.0,True,False,False,False
TSLA,TSLA,TSLA,TSLA,NASDAQ,434.3450012207031,423.6000061035156,440.75,423.60 - 440.75,35791914,35791914,88835201,0.40290238100547554,1466671549740,3376743247,,,,212.11000061035156,488.5400085449219,,,,,,,9.4350012207031,,,,2.220470504507566,,,2025-10-17 15:00:27.082549,2025-10-17 15:00:27.082555,,,,,,,,,,,,,,,,,15546038930.021301,,66.67,,66.67,66.67,True,False,False,False
