ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,last_updated,created_at
ASPSZ,ASPSZ,ASPSZ,ASPSZ,NASDAQ,0.6399999856948853,0.41999998688697815,0.6650000214576721,0.42 - 0.67,30255,30255,2025-10-17 17:36:47.734135+00:00,2025-10-17 17:36:47.734137+00:00
ATEST,ATEST,ATEST,ATEST,NASDAQ,24.517200469970703,24.517200469970703,24.517200469970703,24.52 - 24.52,1000,1000,2025-10-17 17:36:47.740357+00:00,2025-10-17 17:36:47.740359+00:00
